,RESPNUM,year
0,1054,2016
1,1088,2016
2,1952,2016
3,794,2016
4,406,2016
5,2634,2016
6,2699,2016
7,2980,2016
8,1312,2016
9,1303,2016
10,715,2016
11,1943,2016
12,1212,2016
13,848,2016
14,2268,2016
15,1563,2016
16,846,2016
17,2120,2016
18,2716,2016
19,2880,2016
20,2849,2016
21,847,2016
22,553,2016
23,2663,2016
24,2406,2016
25,2785,2016
26,325,2016
27,1795,2016
28,1156,2016
29,1910,2016
30,656,2016
31,413,2016
32,398,2016
33,1348,2016
34,522,2016
35,591,2016
36,1657,2016
37,2781,2016
38,432,2016
39,284,2016
40,405,2016
41,813,2016
42,958,2016
43,1087,2016
44,2388,2016
45,1205,2016
46,1719,2016
47,307,2016
48,726,2016
49,1531,2016
50,2205,2016
51,1915,2016
52,240,2016
53,2506,2016
54,2078,2016
55,1758,2016
56,1450,2016
57,640,2016
58,663,2016
59,431,2016
60,1549,2016
61,1222,2016
62,2202,2016
63,1768,2016
64,2403,2016
65,112,2016
66,1572,2016
67,2264,2016
68,840,2016
69,2601,2016
70,1998,2016
71,2685,2016
72,2248,2016
73,281,2016
74,1711,2016
75,971,2016
76,1559,2016
77,2786,2016
78,1033,2016
79,2752,2016
80,2368,2016
81,3008,2016
82,1934,2016
83,2450,2016
84,2920,2016
85,1237,2016
86,3050,2016
87,2398,2016
88,838,2016
89,367,2016
90,1764,2016
91,2650,2016
92,1953,2016
93,1601,2016
94,3076,2016
95,788,2016
96,1551,2016
97,578,2016
98,2608,2016
99,2997,2016
0,2807,2015
1,2314,2015
2,1582,2015
3,1052,2015
4,199,2015
5,1615,2015
6,536,2015
7,1288,2015
8,1486,2015
9,1076,2015
10,1780,2015
11,1910,2015
12,1131,2015
13,2101,2015
14,1698,2015
15,187,2015
16,1752,2015
17,1029,2015
18,26,2015
19,1622,2015
20,302,2015
21,123,2015
22,2556,2015
23,2295,2015
24,839,2015
25,1508,2015
26,2491,2015
27,56,2015
28,760,2015
29,835,2015
30,436,2015
31,164,2015
32,2017,2015
33,2584,2015
34,2116,2015
35,936,2015
36,2675,2015
37,112,2015
38,134,2015
39,1002,2015
40,294,2015
41,39,2015
42,420,2015
43,2625,2015
44,1565,2015
45,213,2015
46,152,2015
47,1992,2015
48,625,2015
49,2789,2015
50,126,2015
51,1325,2015
52,1632,2015
53,422,2015
54,1007,2015
55,2627,2015
56,1892,2015
57,1899,2015
58,2400,2015
59,1090,2015
60,650,2015
61,1760,2015
62,1456,2015
63,926,2015
64,2180,2015
65,2239,2015
66,2664,2015
67,491,2015
68,489,2015
69,200,2015
70,2828,2015
71,461,2015
72,305,2015
73,674,2015
74,610,2015
75,49,2015
76,375,2015
77,2281,2015
78,402,2015
79,2877,2015
80,2899,2015
81,2001,2015
82,1836,2015
83,1118,2015
84,219,2015
85,1510,2015
86,1616,2015
87,1001,2015
88,1203,2015
89,756,2015
90,1575,2015
91,24,2015
92,970,2015
93,216,2015
94,498,2015
95,2829,2015
96,2597,2015
97,935,2015
98,332,2015
99,1691,2015
